;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
01.03.17;OA4;E1;A - B;Tillæg Onsdagsavisen Trimmet;OAV Tillæg 2;OAV;;OA4JFM0S2906161111028.pdf;OA4JFM0S2906161111028.pdf;OAX-S;;
01.03.17;OAQ;;;Onsdagsavisen Øvrige Formater;;;;Ekstern tryk;OAQJFM0S2906161111028.pdf;OAX-S;;
01.03.17;NNS;E1;A - B;Den lille avis;NNS;NNS;Ugeavisen Den Lille Avis;NNSJFM0T2906161111028.pdf;NNSJFM0T2906161111028.pdf;NNS;;
01.03.17;NN2;E1;A - B;Tillæg Den lille avis;NNS Tillæg 1;NNS;Ugeavisen Den Lille Avis;NN2JFM0T2906161111028.pdf;NN2JFM0T2906161111028.pdf;NNS-S;;
01.03.17;NN4;E1;A - B;Tillæg Den lille avis Trimmet;NNS Tillæg 2;NNS;Ugeavisen Den Lille Avis;NN4JFM0S2906161111028.pdf;NN4JFM0S2906161111028.pdf;NNS-S;;
01.03.17;NNQ;;;Den lille avis Øvrige Formater;;;;Ekstern tryk;;;;
;VUB;E1;A;Vamdrup Ugeblad;;;;Tryk hos OTM m. DK std navn;Issue er leverandør;;;
;;;;;;;;;;;;
;XIH;;;InHorsens;;;;Ekstern trykkeri dd;;;Trykkes hos Europrint;
;XIK;;;InKolding;;;;Ekstern trykkeri;;;Trykkes hos Europrint;
;XIL;;;InLillebælt;;;;Ekstern trykkeri;;;Trykkes hos Europrint;
;XIV;;;InVejle;;;;Ekstern trykkeri;;;Trykkes hos Europrint;
;XKS;;;Kolding Storcenter Magasin;;;;Ekstern trykkeri;;;;
;XSH;;;Shopperen;;XSV;Magasiner;Ekstern trykkeri;;;;
;;;;;;;;;;;;
;Tema-tillæg;;;;;;;;;;;
;Tabloid;;;;;;;;;;;
;T02;;;Diverse tillæg 1;JFM Tillæg;JFM Tillæg;;T02JFM0T2108161111024.pdf;;;;
;T12;;;Diverse tillæg 2;JFM Tillæg;JFM Tillæg;;T12JFM0T2108161111024.pdf;;;;
;T22;;;Diverse tillæg 3;JFM Tillæg;JFM Tillæg;;T22JFM0T2108161111024.pdf;;;;
;T32;;;Diverse tillæg 4;JFM Tillæg;JFM Tillæg;;T32JFM0T2108161111024.pdf;;;;
;T42;;;Diverse tillæg 5;JFM Tillæg;JFM Tillæg;;T42JFM0T2108161111024.pdf;;;;
;T52;;;Diverse tillæg 6;JFM Tillæg;JFM Tillæg;;T52JFM0T2108161111024.pdf;;;;
;T62;;;Diverse tillæg 7;JFM Tillæg;JFM Tillæg;;T62JFM0T2108161111024.pdf;;;;
;T72;;;Diverse tillæg 8;JFM Tillæg;JFM Tillæg;;T72JFM0T2108161111024.pdf;;;;
;T82;;;Diverse tillæg 9;JFM Tillæg;JFM Tillæg;;T82JFM0T2108161111024.pdf;;;;
;T92;;;Diverse tillæg 10;JFM Tillæg;JFM Tillæg;;T92JFM0T2108161111024.pdf;;;;
;;;;;;;;;;;;
;Trimmet Tabloid;;;;;;;;;;;
;T04;;;Diverse tillæg 11;JFM Tillæg;JFM Tillæg;;T04JFM0S2108161111024.pdf;;;;
;T14;;;Diverse tillæg 12;JFM Tillæg;JFM Tillæg;;T14JFM0S2108161111024.pdf;;;;
;T24;;;Diverse tillæg 13;JFM Tillæg;JFM Tillæg;;T24JFM0S2108161111024.pdf;;;;
;T34;;;Diverse tillæg 14;JFM Tillæg;JFM Tillæg;;T34JFM0S2108161111024.pdf;;;;
;T44;;;Diverse tillæg 15;JFM Tillæg;JFM Tillæg;;T44JFM0S2108161111024.pdf;;;;
;T54;;;Diverse tillæg 16;JFM Tillæg;JFM Tillæg;;T54JFM0S2108161111024.pdf;;;;
;T64;;;Diverse tillæg 17;JFM Tillæg;JFM Tillæg;;T64JFM0S2108161111024.pdf;;;;
;T74;;;Diverse tillæg 18;JFM Tillæg;JFM Tillæg;;T74JFM0S2108161111024.pdf;;;;
;T84;;;Diverse tillæg 19;JFM Tillæg;JFM Tillæg;;T84JFM0S2108161111024.pdf;;;;
;T94;;;Diverse tillæg 20;JFM Tillæg;JFM Tillæg;;T94JFM0S2108161111024.pdf;;;;
;;;;;;;;;;;;
;TEQ;;;Tema-tillæg Øvrige Formater;JFM Tillæg;JFM Tillæg;;Ekstern tryk;;;;
;PID;E1;A;Tema-tillæg Pindleformat;JFM Tillæg;JFM Tillæg;;PIDJFM0S2108161111024.pdf;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;XLT;E1;A;Tema Tillæg Zone A (Fyn);JFM Tema Tillæg;ALT;Tema Tillæg FM;XLTJFM0T290616A111028.pdf;;;;
;XLT;E2;A;Tema Tillæg Zone B (JV);JFM Tema Tillæg;BLT;Tema Tillæg SDM;XLTJFM0T290616B111028.pdf;;;;
;XLT;E3;A;Tema Tillæg Zone C (JYM);JFM Tema Tillæg;CLT;Tema Tillæg JM;XLTJFM0T290616C111028.pdf;;;;
;XLT;E4;A;Tema Tillæg Zone D (Midt);JFM Tema Tillæg;DLT;Tema Tillæg MJM;XLTJFM0T290616D111028.pdf;;;;
;;;;;;;;;;;;
;XLI;E4;A;Søndag;JFM Tema Tillæg;DLT;Tema Tillæg MJM;XLIJFM0T290616D111028.pdf;;;;
;XL2;;;;;;;XL2JFM0T290616D111028.pdf;;;;
